page,elo,tlo,pid,type,name
1,2,15,52629,Page,Emergency Procedures - Starting Objectives
0,3,15,,ELO,"Emergency Starting Procedures Warnings, Cautions & Notes"
1,3,15,52630,Page,"Emergency Starting Procedures Warnings, Cautions & Notes"
0,4,15,,ELO,Emergency Starting Procedure
1,4,15,52643,Page,Emergency Starting Procedure
0,5,15,,ELO,Paralleling Batteries Procedure
1,5,15,52644,Page,Paralleling Batteries Procedure
0,6,15,,ELO,Checks On Learning
1,6,15,52631,Page,Question 1 of 2
2,6,15,52632,Page,Question 2 of 2
0,0,16,,TLO,Emergency Procedures - Underway
0,1,16,52633,Page,Emergency Procedures - Underway
0,2,16,,ELO,Emergency Procedures - Underway Objectives
1,2,16,52634,Page,Emergency Procedures - Underway Objectives
0,3,16,,ELO,"Emergency Starting Procedures Warnings, Cautions & Notes"
1,3,16,52635,Page,"Emergency Starting Procedures Warnings, Cautions & Notes"
0,4,16,,ELO,Emergency Dewatering Procedures
1,4,16,52636,Page,Emergency Dewatering Procedures
0,5,16,,ELO,"Capsizing Procedures Warnings, Cautions, & Notes"
1,5,16,52637,Page,"Capsizing Procedures Warnings, Cautions, & Notes"
0,6,16,,ELO,Emergency Capsizing Procedures
1,6,16,52638,Page,Emergency Capsizing Procedures
0,7,16,,ELO,"Collision Procedures Warnings, Cautions, & Notes"
1,7,16,52639,Page,"Collision Procedures Warnings, Cautions, & Notes"
0,8,16,,ELO,Emergency Collision Procedures
1,8,16,52640,Page,Emergency Collision Procedures
0,9,16,,ELO,"Running Aground Procedures Warnings, Cautions, & Notes"
1,9,16,52641,Page,"Running Aground Procedures Warnings, Cautions, & Notes"
0,10,16,,ELO,Emergency Running Aground Procedures
1,10,16,52642,Page,Emergency Running Aground Procedures
0,11,16,,ELO,Loss of Steering Control
1,11,16,52655,Page,Loss of Steering Control
0,12,16,,ELO,"Man Overboard Procedures Warnings, Cautions, & Notes"
1,12,16,52645,Page,"Man Overboard Procedures Warnings, Cautions, & Notes"
0,13,16,,ELO,Emergency Man Overboard Procedures
1,13,16,52646,Page,Emergency Man Overboard Procedures
0,14,16,,ELO,Checks On Learning
1,14,16,52647,Page,Question 1 of 6
2,14,16,52648,Page,Question 2 of 6
3,14,16,52649,Page,Question 3 of 6
4,14,16,52650,Page,Question 4 of 6
5,14,16,52651,Page,Question 5 of 6
6,14,16,52652,Page,Question 6 of 6
0,0,17,,TLO,Unusual Environments and Weather
0,1,17,52658,Page,Unusual Environments and Weather
0,2,17,,ELO,Unusual Environments and Weather Objectives
1,2,17,52659,Page,Unusual Environments and Weather Objectives
0,3,17,,ELO,Unusual Environments and Weather
1,3,17,52663,Page,Unusual Environments and Weather
0,4,17,,ELO,Checks On Learning
1,4,17,52660,Page,Question 1 of 1
0,0,18,,TLO,Operator Maintenance
0,1,18,52661,Page,Operator Maintenance
0,2,18,,ELO,"Operator Maintenance Warnings, Cautions, & Notes"
1,2,18,52662,Page,"Operator Maintenance Warnings, Cautions, & Notes"
0,0,19,,TLO,Contact
0,1,19,52664,Page,Contact Information
